branch,grid_mode,P_mW,bi,b,theta_bc,beta,dtheta_max,dtheta_absmax,Imax,x0_um,y0_um,sx_um,sy_um,outer_iters,err_A,err_theta,err_beta,theta_residual_max,theta_residual_rms
fundamental,FULL,0.1,21.443406119881192,1.718570203405714,0.0,0.42575180530548096,0.005133211612701416,0.005133211612701416,0.03501255810260773,-6.657501216977835e-06,-7.256062417582143e-07,1.555890679359436,2.970106363296509,100,0.0007300661527551711,8.460877324978355e-06,2.5004148483276367e-05,0.011703042388996776,0.003973651937937863
fundamental,FULL,0.2,42.886812239762385,1.718570203405714,0.0,0.43662354350090027,0.0116996169090271,0.0116996169090271,0.04370523989200592,-1.4460963939200155e-05,-1.3154276530258358e-06,1.4975018501281738,2.5093562602996826,100,0.0007020841003395617,1.4190726687957067e-05,4.470348358154297e-05,0.019955275887182378,0.006665333588832991
fundamental,FULL,0.5,107.21703059940596,1.718570203405714,0.0,0.47168636322021484,0.03304767608642578,0.03304767608642578,0.07707136124372482,-1.937223714776337e-05,1.5979750287442585e-06,1.305610179901123,1.6067293882369995,100,0.0005734961596317589,3.493693293421529e-05,0.00011622905731201172,0.05123830352762582,0.016430113266995776
