jt,k,z_um,Imax,power,theta_min,theta_max,dtheta_max,rrms,rmax,frac_rrms,frac_rmax,I_weighted_rrms,I_weighted_frac_rrms,converged
0,0,0.0,0.06763316690921783,0.9999988105846569,0.0,0.8773137331008911,0.09211289882659912,0.0030439615977997316,0.009505625862366918,0.0009942189405581952,0.0031047281546049245,0.008669295354108816,0.002831565828090064,True
0,1,5.0,0.06961982697248459,0.9999977191910148,0.0,0.8775490522384644,0.09234821796417236,0.0030497138159819716,0.009898548489635672,0.0009952069563997387,0.003230173357093708,0.0087483811994377,0.002854841585886221,True
0,2,10.0,0.07334528863430023,0.9999966277973726,0.0,0.877983808517456,0.09278297424316406,0.0030575448759201317,0.009729723677752489,0.000996029690067014,0.003169567104480545,0.008787492263812889,0.0028626246060764176,True
0,3,15.0,0.07873624563217163,0.9999955364037305,0.0,0.8785811066627502,0.09338027238845825,0.003029386681987424,0.009666649885043732,0.0009842432293939943,0.00314068017689794,0.008531651216315132,0.0027719207967535605,True
0,4,20.0,0.08566206693649292,0.9999944450100884,0.0,0.8793962001800537,0.09419536590576172,0.0030823904530492725,0.009959225725201915,0.000997795454997298,0.0032238842921629668,0.008881476819240477,0.0028750079974895213,True
0,5,25.0,0.09393805265426636,0.999993244477082,0.0,0.8803269863128662,0.09512615203857422,0.0031002121708390683,0.009921382713388383,0.0009988263104876338,0.003196470933106314,0.008959007962412004,0.00288641305033759,True
0,6,30.0,0.10333164036273956,0.9999921530834399,0.0,0.8813415169715881,0.09614068269729614,0.0030817788139508766,0.009895685899303341,0.0009871368362840266,0.0031697265317284585,0.0087373215124502,0.0027986862250958216,True
0,7,35.0,0.11356379091739655,0.9999909525504336,0.0,0.8824542760848999,0.09725344181060791,0.0031036777263035924,0.009790709311387369,0.0009873846357348942,0.003114755074304657,0.008822422579345545,0.002806710384580152,True
0,8,40.0,0.1243048831820488,0.9999898611567914,0.0,0.8835742473602295,0.0983734130859375,0.0030899135576089617,0.009722453149654697,0.0009754967205664834,0.003069413103804923,0.00864548389004414,0.0027294100709323874,True
0,9,45.0,0.1351698338985443,0.9999887697631493,0.0,0.8847085237503052,0.09950768947601318,0.0031150584872260854,0.009955951581670064,0.0009753755162017582,0.0031173704933862957,0.00875911704166162,0.002742622118016834,True
0,10,50.0,0.14571744203567505,0.999987569230143,0.0,0.8857864141464233,0.10058557987213135,0.0031392787810062836,0.01015722031145705,0.0009747600204300507,0.0031538620711903517,0.008790902922518792,0.0027296144465405662,True
0,11,55.0,0.15545853972434998,0.9999863686971366,0.0,0.8867623209953308,0.10156148672103882,0.0031628264396598507,0.01017268832873075,0.0009742263138682816,0.0031334317079049346,0.008930994567496334,0.002750960282729058,True
0,12,60.0,0.16387878358364105,0.9999852773034945,0.0,0.8875917196273804,0.10239088535308838,0.0031822752010755586,0.009970142273701965,0.0009732768810299748,0.003049299121676859,0.008934990209978505,0.002732705015789349,True
0,13,65.0,0.17047518491744995,0.9999841859098524,0.0,0.8882342576980591,0.10303342342376709,0.0031983894825150776,0.010160942562877917,0.0009727015849809361,0.0030901692835856843,0.009066668682635006,0.002757376187705905,True
0,14,70.0,0.17480546236038208,0.9999828762374818,0.0,0.8886570930480957,0.10345625877380371,0.0032085401180598173,0.010116808638682473,0.0009721732907161188,0.003065347723238235,0.009061014041627785,0.002745446687261904,True
0,15,75.0,0.17654266953468323,0.9999817848438397,0.0,0.8888372182846069,0.10363638401031494,0.003212942649622501,0.010143227897319473,0.0009720769440071567,0.0030688372162363167,0.009046830440003286,0.0027371217746767363,True
0,16,80.0,0.17552465200424194,0.9999808025895618,0.0,0.888764500617981,0.10356366634368896,0.0032101288594082616,0.010546739686239093,0.0009720792668140384,0.0031937244361485437,0.00908629156968604,0.0027514769761445455,True
0,17,85.0,0.17178791761398315,0.9999796020565554,0.0,0.888443112373352,0.10324227809906006,0.003201263668320352,0.010295494393660398,0.0009724169538631131,0.0031273629210463853,0.009066590447321821,0.002754070635279772,True
