jt,k,z_um,Imax,power,theta_min,theta_max,dtheta_max,rrms,rmax,frac_rrms,frac_rmax,I_weighted_rrms,I_weighted_frac_rrms,converged
0,0,0.0,0.06695255637168884,0.9999988105846569,0.0,0.7910139560699463,0.005813121795654297,0.3686652501182009,8.906209280619436,0.12567389627388206,3.036027998210278,6.233668434176648,2.1249884548416578,True
0,1,5.0,0.06649889796972275,0.9999977191910148,0.0,0.7909806370735168,0.0057798027992248535,0.3678401040380816,8.870689985768202,0.125420288313097,3.0245872685920325,6.201550893526972,2.114506527471984,True
0,2,10.0,0.06566285341978073,0.9999964095186442,0.0,0.7909193634986877,0.005718529224395752,0.3663024277850614,8.803163483695375,0.12494659891974162,3.002779270869629,6.141972262407026,2.0950408368504014,True
0,3,15.0,0.06448046863079071,0.9999950998462737,0.0,0.7908320426940918,0.005631208419799805,0.3640918190670029,8.708034333073346,0.12426330541912779,2.972022641716676,6.057068126648504,2.06725684882163,True
0,4,20.0,0.06299960613250732,0.9999938993132673,0.0,0.7907220125198364,0.005521178245544434,0.3612580961180383,8.584741993092628,0.12338343208616108,2.932017142491581,5.949504988170035,2.031983096136072,True
0,5,25.0,0.06127539649605751,0.999992698780261,0.0,0.7905930280685425,0.005392193794250488,0.3578630646389761,8.43854628052145,0.12232367555455592,2.8844384888168375,5.822498679728565,1.990228972454778,True
0,6,30.0,0.059365469962358475,0.9999913891078904,0.0,0.7904489040374756,0.005248069763183594,0.3539823656804647,8.27066449645918,0.1211054655839898,2.8295835376071112,5.679687608705172,1.943151068843816,True
0,7,35.0,0.057326022535562515,0.9999901885748841,0.0,0.7902934551239014,0.005092620849609375,0.3496873936926499,8.087018636076877,0.11974910933827737,2.7693685741597607,5.524622521012637,1.891885833616648,True
0,8,40.0,0.05520880967378616,0.9999888789025135,0.0,0.790130615234375,0.004929780960083008,0.345054640570088,7.889324010174868,0.11827720910518347,2.704288295060502,5.3608070395809655,1.8375677954815564,True
0,9,45.0,0.053059160709381104,0.999987569230143,0.0,0.7899634838104248,0.0047626495361328125,0.3401622640086254,7.681818108936195,0.11671367774604777,2.63572223651298,5.191510597543584,1.7812684092481508,True
0,10,50.0,0.050915129482746124,0.9999862595577724,0.0,0.7897951006889343,0.004594266414642334,0.3350777498770544,7.466591694382197,0.11507947183506662,2.564334483303866,5.019630424954682,1.7239474072001724,True
0,11,55.0,0.04880734533071518,0.9999850590247661,0.0,0.789627730846405,0.004426896572113037,0.3298700047530362,7.248707745146184,0.11339663970885476,2.4918273522520424,4.847711614346894,1.666457087409569,True
0,12,60.0,0.0467594638466835,0.9999837493523955,0.0,0.7894634008407593,0.004262566566467285,0.3245968867299115,7.030778573252956,0.11168406555977342,2.4190803030245918,4.677792829318594,1.6094883912406721,True
0,13,65.0,0.0447889044880867,0.999982439680025,0.0,0.7893035411834717,0.0041027069091796875,0.3193081607491791,6.814428915982978,0.10995830045700279,2.3466453861639063,4.511550495737587,1.5536164931498035,True
0,14,70.0,0.042907752096652985,0.9999811300076544,0.0,0.7891496419906616,0.003948807716369629,0.31405213999073806,6.600526111079236,0.10823576672847812,2.27482291464427,4.350301878572671,1.499299636492011,True
